Date,€/MWh
12/07/2017,63.577164
13/07/2017,58.321144
14/07/2017,56.719892
15/07/2017,44.833984
16/07/2017,37.293555
17/07/2017,49.061032
18/07/2017,52.471816
19/07/2017,56.618529
20/07/2017,56.567349
21/07/2017,57.530310
22/07/2017,44.716186
23/07/2017,42.428853
24/07/2017,50.684990
25/07/2017,46.680241
26/07/2017,50.680787
27/07/2017,53.675824
28/07/2017,50.852242
29/07/2017,50.055811
30/07/2017,44.515567
31/07/2017,65.472822
01/08/2017,63.790595
02/08/2017,77.474821
03/08/2017,104.725861
04/08/2017,94.700260
05/08/2017,55.078932
06/08/2017,46.836063
07/08/2017,51.875086
08/08/2017,51.782754
09/08/2017,61.433150
10/08/2017,50.573852
11/08/2017,44.388071
12/08/2017,48.967773
13/08/2017,39.970345
14/08/2017,43.535222
15/08/2017,41.901762
16/08/2017,51.801538
17/08/2017,50.432903
18/08/2017,49.640049
19/08/2017,47.521577
20/08/2017,41.888372
21/08/2017,48.589446
22/08/2017,51.385720
23/08/2017,51.030097
24/08/2017,51.038606
25/08/2017,53.767840
26/08/2017,51.947300
27/08/2017,46.657511
28/08/2017,72.922074
29/08/2017,60.416786
30/08/2017,65.991088
31/08/2017,56.784544
01/09/2017,56.181942
02/09/2017,44.307550
03/09/2017,38.710888
04/09/2017,49.688510
05/09/2017,53.713619
06/09/2017,49.884159
07/09/2017,53.352334
08/09/2017,51.397182
09/09/2017,44.861782
10/09/2017,41.835533
11/09/2017,47.655631
12/09/2017,46.071222
13/09/2017,52.743990
14/09/2017,46.744188
15/09/2017,49.554315
16/09/2017,42.195110
17/09/2017,40.488780
18/09/2017,47.854191
19/09/2017,45.707534
20/09/2017,45.218643
21/09/2017,52.721363
22/09/2017,54.181338
23/09/2017,50.031684
24/09/2017,44.878028
25/09/2017,53.148759
26/09/2017,52.327542
27/09/2017,50.698843
28/09/2017,52.151943
29/09/2017,53.101735
30/09/2017,46.440328
01/10/2017,47.964930
02/10/2017,54.312333
03/10/2017,54.088860
04/10/2017,55.760743
05/10/2017,56.662473
06/10/2017,55.223989
07/10/2017,43.842332
08/10/2017,46.893414
09/10/2017,58.881115
10/10/2017,65.026078
11/10/2017,60.745598
12/10/2017,57.567323
13/10/2017,56.341597
14/10/2017,48.952118
15/10/2017,43.794044
16/10/2017,53.158967
17/10/2017,57.093392
18/10/2017,57.719462
19/10/2017,58.760551
20/10/2017,57.980687
21/10/2017,55.523907
22/10/2017,47.616446
23/10/2017,51.124328
24/10/2017,54.727947
25/10/2017,60.784203
26/10/2017,61.333454
27/10/2017,60.447434
28/10/2017,50.020104
29/10/2017,48.284714
30/10/2017,54.835164
31/10/2017,59.165070
01/11/2017,55.826237
02/11/2017,59.662274
03/11/2017,60.354712
04/11/2017,52.451727
05/11/2017,52.944259
06/11/2017,64.005608
07/11/2017,64.739368
08/11/2017,73.641207
09/11/2017,86.152574
10/11/2017,82.409175
11/11/2017,62.256747
12/11/2017,54.014260
13/11/2017,66.284674
14/11/2017,79.371327
15/11/2017,74.884607
16/11/2017,74.633213
17/11/2017,68.079520
18/11/2017,58.193583
19/11/2017,58.123733
20/11/2017,68.007889
21/11/2017,65.671346
22/11/2017,68.512359
23/11/2017,70.811032
24/11/2017,67.497427
25/11/2017,54.624855
26/11/2017,50.571494
27/11/2017,58.883813
28/11/2017,74.705549
29/11/2017,76.931810
30/11/2017,68.867465
01/12/2017,78.674080
02/12/2017,69.209358
03/12/2017,60.837203
04/12/2017,81.055751
05/12/2017,89.806082
06/12/2017,87.908530
07/12/2017,80.386802
08/12/2017,66.544612
09/12/2017,64.978631
10/12/2017,57.968699
11/12/2017,65.439220
12/12/2017,73.991903
13/12/2017,110.978316
14/12/2017,76.677156
15/12/2017,62.428906
16/12/2017,57.892643
17/12/2017,55.924630
18/12/2017,67.691940
19/12/2017,66.759599
20/12/2017,77.758041
21/12/2017,67.447477
22/12/2017,65.854144
23/12/2017,46.839537
24/12/2017,51.366500
25/12/2017,53.410919
26/12/2017,48.090500
27/12/2017,45.597018
28/12/2017,46.537735
29/12/2017,49.078125
30/12/2017,45.919731
31/12/2017,45.130693
01/01/2018,45.247803
02/01/2018,39.957535
03/01/2018,52.372205
04/01/2018,43.230759
05/01/2018,52.395338
06/01/2018,47.875319
07/01/2018,45.095000
08/01/2018,45.789422
09/01/2018,55.600611
10/01/2018,50.998605
11/01/2018,54.098826
12/01/2018,51.453660
13/01/2018,48.140399
14/01/2018,47.667887
15/01/2018,51.342824
16/01/2018,49.247742
17/01/2018,44.272846
18/01/2018,49.093530
19/01/2018,51.061016
20/01/2018,51.020905
21/01/2018,40.408925
22/01/2018,45.200905
23/01/2018,51.774668
24/01/2018,53.039940
25/01/2018,54.281141
26/01/2018,51.045659
27/01/2018,48.117722
28/01/2018,47.721716
29/01/2018,50.654968
30/01/2018,48.374583
31/01/2018,52.363492
01/02/2018,46.950710
02/02/2018,48.421575
03/02/2018,44.780607
04/02/2018,45.329433
05/02/2018,50.336627
06/02/2018,52.574524
07/02/2018,51.673002
08/02/2018,54.913456
09/02/2018,51.277937
10/02/2018,48.279778
11/02/2018,40.463589
12/02/2018,50.753165
13/02/2018,52.766056
14/02/2018,54.054440
15/02/2018,51.861825
16/02/2018,57.847701
17/02/2018,49.423862
18/02/2018,48.119087
19/02/2018,54.448777
20/02/2018,55.015050
21/02/2018,55.912386
22/02/2018,60.815167
23/02/2018,69.107466
24/02/2018,69.277264
25/02/2018,52.292532
26/02/2018,87.777460
27/02/2018,107.165870
28/02/2018,84.407491
01/03/2018,91.846294
02/03/2018,97.479242
03/03/2018,67.154361
04/03/2018,53.346763
05/03/2018,72.115485
06/03/2018,57.729831
07/03/2018,51.689691
