date,total_res_mw,solar_mw,wind_mw,hydro_mw,biomass_mw,geothermal_mw,is_outlier,year,month,day
2020-07-08,13596.166666666666,3770.375,1451.875,7079.625,663.0416666666666,631.25,False,2020,7,8
2020-07-09,12510.375,3714.375,398.5833333333333,7168.791666666667,635.5416666666666,593.0833333333334,False,2020,7,9
2020-07-10,11758.625,3633.875,302.375,6556.833333333333,648.1666666666666,617.375,False,2020,7,10
2020-07-11,10902.375,3275.3333333333335,955.2916666666666,5390.083333333333,661.25,620.4166666666666,False,2020,7,11
2020-07-12,12526.541666666666,3704.0833333333335,2807.4166666666665,4763.125,651.8333333333334,600.0833333333334,False,2020,7,12
2020-07-13,13537.916666666666,3603.875,2895.0833333333335,5783.166666666667,638.2083333333334,617.5833333333334,False,2020,7,13
2020-07-14,11936.666666666666,3350.2083333333335,1006.75,6318.583333333333,638.8333333333334,622.2916666666666,False,2020,7,14
2020-07-15,11899.791666666666,3168.4166666666665,708.2083333333334,6742.0,655.375,625.7916666666666,False,2020,7,15
2020-07-16,12307.583333333334,3323.5,1043.0416666666667,6681.458333333333,644.5416666666666,615.0416666666666,False,2020,7,16
2020-07-17,11253.041666666666,2831.2083333333335,1066.2916666666667,6104.5,634.5833333333334,616.4583333333334,False,2020,7,17
2020-07-18,10742.375,3487.7083333333335,1542.7916666666667,4381.958333333333,681.875,648.0416666666666,False,2020,7,18
2020-07-19,10238.208333333334,3571.125,1115.75,4211.583333333333,691.1666666666666,648.5833333333334,False,2020,7,19
2020-07-20,10967.791666666666,3648.7083333333335,693.7083333333334,5328.125,661.3333333333334,635.9166666666666,False,2020,7,20
2020-07-21,11669.25,3626.2916666666665,943.2916666666666,5821.416666666667,644.9583333333334,633.2916666666666,False,2020,7,21
2020-07-22,11678.25,3509.2083333333335,869.0416666666666,6002.375,663.5416666666666,634.0833333333334,False,2020,7,22
2020-07-23,11663.75,3591.5,883.7916666666666,5885.25,674.4166666666666,628.7916666666666,False,2020,7,23
2020-07-24,11527.708333333334,2907.6666666666665,1832.9583333333333,5457.75,692.7083333333334,636.625,False,2020,7,24
2020-07-25,11338.708333333334,3536.0833333333335,1882.5833333333333,4566.208333333333,707.7083333333334,646.125,False,2020,7,25
2020-07-26,10419.75,3575.8333333333335,1344.9166666666667,4143.291666666667,710.6666666666666,645.0416666666666,False,2020,7,26
2020-07-27,11245.291666666666,3563.125,792.2916666666666,5585.708333333333,667.3333333333334,636.8333333333334,False,2020,7,27
2020-07-28,11172.625,3551.5833333333335,490.9166666666667,5843.75,662.7916666666666,623.5833333333334,False,2020,7,28
2020-07-29,10635.041666666666,3496.1666666666665,348.2916666666667,5487.625,685.7916666666666,617.1666666666666,False,2020,7,29
2020-07-30,10611.458333333334,3410.8333333333335,347.1666666666667,5598.583333333333,664.4583333333334,590.4166666666666,False,2020,7,30
2020-07-31,11513.75,3386.7916666666665,655.5416666666666,6195.791666666667,660.875,614.75,False,2020,7,31
2020-08-01,11080.791666666666,3534.3333333333335,1556.0416666666667,4719.625,662.7916666666666,608.0,False,2020,8,1
2020-08-02,10177.125,3365.875,1068.9583333333333,4459.208333333333,666.125,616.9583333333334,False,2020,8,2
2020-08-03,11943.916666666666,2272.4583333333335,2508.5416666666665,5923.333333333333,636.3333333333334,603.25,False,2020,8,3
2020-08-04,13103.708333333334,2597.0416666666665,3283.2083333333335,5964.541666666667,630.7916666666666,628.125,False,2020,8,4
2020-08-05,11969.458333333334,3125.75,1727.125,5838.458333333333,647.7916666666666,630.3333333333334,False,2020,8,5
2020-08-06,12650.5,3066.5,2551.2916666666665,5768.958333333333,635.0833333333334,628.6666666666666,False,2020,8,6
2020-08-07,13431.583333333334,3203.1666666666665,2959.9166666666665,5996.041666666667,649.9166666666666,622.5416666666666,False,2020,8,7
2020-08-08,12363.916666666666,3335.4166666666665,2771.1666666666665,4964.375,658.6666666666666,634.2916666666666,False,2020,8,8
2020-08-09,12101.5,3529.0416666666665,2489.5,4744.75,699.0,639.2083333333334,False,2020,8,9
2020-08-10,11854.583333333334,3458.0416666666665,883.0416666666666,6182.083333333333,698.2916666666666,633.125,False,2020,8,10
2020-08-11,11087.25,3464.3333333333335,311.0,5998.208333333333,690.2083333333334,623.5,False,2020,8,11
2020-08-12,11178.166666666666,3457.7916666666665,441.125,5942.25,701.875,635.125,False,2020,8,12
2020-08-13,11240.125,3304.6666666666665,627.75,5960.25,708.3333333333334,639.125,False,2020,8,13
2020-08-14,12151.333333333334,3212.2083333333335,2024.9166666666667,5581.708333333333,701.7083333333334,630.7916666666666,False,2020,8,14
2020-08-15,11014.0,3439.5416666666665,1537.0416666666667,4701.416666666667,701.0,635.0,False,2020,8,15
2020-08-16,9617.583333333334,3303.5416666666665,648.7083333333334,4319.666666666667,708.9583333333334,636.7083333333334,False,2020,8,16
2020-08-17,11449.166666666666,2982.25,1360.5,5747.083333333333,725.7916666666666,633.5416666666666,False,2020,8,17
2020-08-18,11656.375,2870.6666666666665,2192.8333333333335,5240.458333333333,718.7916666666666,633.625,False,2020,8,18
2020-08-19,10450.125,3312.5416666666665,1054.125,4729.916666666667,718.2916666666666,635.25,False,2020,8,19
2020-08-20,10150.958333333334,3567.0416666666665,542.625,4738.375,680.9166666666666,622.0,False,2020,8,20
2020-08-21,9919.291666666666,3460.8333333333335,457.3333333333333,4670.333333333333,687.2083333333334,643.5833333333334,False,2020,8,21
2020-08-22,9954.083333333334,3447.0,770.3333333333334,4417.25,681.25,638.25,False,2020,8,22
2020-08-23,9844.458333333334,3245.0416666666665,1440.5833333333333,3824.1666666666665,692.5,642.1666666666666,False,2020,8,23
2020-08-24,11323.333333333334,3130.0416666666665,1344.4166666666667,5525.083333333333,679.25,644.5416666666666,False,2020,8,24
2020-08-25,11560.583333333334,3361.875,1879.2083333333333,5029.041666666667,655.375,635.0833333333334,False,2020,8,25
